id,date_of_last_activity,avatar,number_of_messages_sent
uid-1959774523483921935,2014-11-01,false,0
uid-1959774523483921936,2014-11-01,false,0
uid-1959774523483921937,2014-12-02,false,0
uid-1959774523483921938,2014-11-01,false,0
uid-1959774523483921939,2014-11-02,false,0
uid-1959774523483921940,,false,0
uid-1959774523483921941,2014-11-20,false,0
uid-1959774523483921942,2014-11-07,false,0
uid-1959774523483921943,2014-12-24,true,0
uid-1959774523483921944,2015-02-05,false,0
uid-1959774523483921945,2014-11-13,false,0
uid-1992425284049366960,2014-12-19,false,0
uid-1992425284049366961,2014-12-24,false,0
uid-1992425284049366962,2014-12-23,false,0
uid-2019049096049076659,,false,0
uid-2031115705546437911,,false,0
uid-2031115705546437912,2015-02-01,false,0
uid-2081576863016438571,,false,0
uid-2096413499805662511,2014-07-14,false,0
uid-2197440168771870518,2015-02-01,false,0
uid-2197440168771870519,,false,0
uid-2197440168771870520,2015-02-02,false,0
uid-2215873370850136303,2014-11-18,false,3
uid-2237055333887371087,,false,0
uid-2268721431454466531,2014-11-23,false,0
uid-2277732417034729566,2014-05-14,false,0
uid-2277732417034729567,2014-05-15,false,0
uid-2286541046754800002,2014-05-18,false,0
uid-2286541046754800003,2014-09-01,false,0
uid-2286541046754800004,2014-08-30,false,0
uid-2304442702263116230,2014-12-30,false,5
uid-2322605775160628373,,false,0
uid-2350789765717880243,2015-02-06,true,25
uid-2360912254189819657,,false,0
uid-2381795945826594938,,false,0
uid-2439379794235606313,2015-01-28,true,0
uid-2439379794235606314,2015-01-28,false,0
uid-2439379794235606315,2015-02-06,false,0
uid-2439379794235606316,2015-01-29,false,0
uid-2439379794235606317,2015-02-05,false,0
uid-2439379794235606318,2015-02-05,false,0
uid-2439379794235606319,2015-01-29,false,0
uid-2439379794235606320,2015-02-05,false,0
uid-2439379794235606321,2015-02-05,true,0
uid-2439379794235606322,2015-01-29,false,0
uid-2439379794235606323,2015-02-04,false,0
uid-2439379794235606324,2015-01-30,false,0
uid-2439379794235606325,,false,0
uid-2439379794235606326,2015-01-30,false,0
uid-2439379794235606327,2015-02-06,false,0
uid-2441072276051590248,,false,0
uid-2441072276051590249,,false,0
uid-2446066838957401871,,false,0
uid-2449726486029331632,2014-10-28,false,2
uid-2449726486029331633,2014-10-29,true,0
uid-2460292500206509359,,false,0
uid-2467142322410347956,2015-01-30,false,0
uid-2475183349165560440,2014-09-16,false,1
uid-2475183349165560441,2015-02-02,false,0
uid-2475183349165560442,2014-08-28,false,0
uid-2475183349165560443,2015-01-14,false,0
uid-2475183349165560444,2014-08-30,false,0
uid-2475183349165560445,2014-10-14,false,0
uid-2475183349165560446,2014-10-31,false,0
uid-2475183349165560447,2014-10-14,false,3
uid-2475183349165560448,2014-08-28,false,0
uid-2475183349165560449,2014-11-18,false,0
uid-2548898757897074453,,false,0
uid-2552129785104436688,,false,0
uid-2553235734972705919,2015-02-06,true,37
uid-2574738995880809442,2015-01-11,false,0
uid-2574738995880809443,2015-01-30,false,0
uid-2574738995880809444,2015-01-28,false,0
uid-2574738995880809445,2015-01-11,false,0
